,age,height_cm,weight_kg,wage_eur,international_reputation,weak_foot,skill_moves,release_clause_eur,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
2661,21,185,72,46000,1,3,3,13700000.0,12.1145648312611,78.0,35.0,61.0,69.0,71.0,74.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,52,26,69,72,41,68,45,37,70,69,76,79,76,72,68,46,73,74,75,34,72,68,50,55,50,74,73,72,73
2720,22,183,80,51000,1,3,4,11600000.0,12.1145648312611,78.0,71.0,64.0,75.0,28.0,67.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,49,70,60,70,73,75,72,64,63,76,77,79,73,71,70,72,65,67,70,72,61,21,77,67,73,69,28,25,23
795,24,195,94,59000,1,3,2,24700000.0,13.0,51.0,54.0,55.0,56.0,78.0,80.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,43,51,86,70,41,60,38,30,52,53,45,56,50,72,32,70,70,66,88,50,80,75,48,54,53,78,76,79,75
626,26,192,81,39000,1,4,2,27700000.0,12.1145648312611,58.0,45.0,66.0,63.0,79.0,78.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,59,40,80,72,40,61,54,53,72,68,55,61,57,75,53,63,82,69,81,38,79,79,43,65,52,78,79,80,79
13104,17,183,67,1000,1,3,2,1800000.0,12.1145648312611,72.0,36.0,57.0,64.0,61.0,62.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,58,31,53,61,40,64,56,60,51,63,74,70,68,58,65,42,70,58,62,38,64,63,43,51,43,69,61,62,57
2205,25,185,75,37000,1,3,2,14700000.0,12.1145648312611,61.0,42.0,58.0,67.0,74.0,71.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,47,36,75,72,34,66,55,58,59,72,60,61,63,73,58,55,67,66,75,42,68,77,47,44,42,65,71,75,74
5128,26,191,90,29000,1,3,3,4300000.0,12.1145648312611,49.0,72.0,61.0,65.0,30.0,71.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,62,73,75,62,62,65,53,67,57,70,48,50,52,71,49,76,68,52,80,66,72,18,68,60,75,65,29,28,20
914,28,185,73,72000,3,3,3,20000000.0,12.1145648312611,77.0,74.0,70.0,77.0,43.0,74.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,69,75,77,75,76,78,61,62,64,77,74,79,76,76,62,78,80,68,75,68,75,32,77,70,70,75,47,38,33
144,29,178,76,145000,3,3,2,48500000.0,14.0,70.0,55.0,77.0,73.0,85.0,76.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,81,46,75,80,51,69,68,58,80,77,73,68,72,86,73,68,77,83,70,60,84,86,62,74,66,78,85,87,86
599,22,178,77,65000,1,3,3,32600000.0,19.0,78.0,49.0,71.0,77.0,76.0,75.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,77,43,68,73,42,78,65,66,69,79,79,78,70,76,72,69,81,87,68,38,74,76,68,64,52,73,76,78,81
82,25,178,64,125000,1,2,3,83700000.0,3.0,85.0,62.0,77.0,79.0,80.0,75.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,89,57,63,79,32,78,78,30,71,81,83,86,78,84,74,74,62,94,65,65,80,82,76,77,55,79,81,83,80
912,30,175,69,75000,3,4,3,18100000.0,12.1145648312611,58.0,74.0,79.0,76.0,70.0,65.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,77,67,61,81,74,77,79,74,80,80,61,55,66,76,68,83,53,69,59,77,79,78,73,77,84,77,60,76,72
3307,21,177,70,21000,1,3,3,10700000.0,3.0,79.0,51.0,60.0,70.0,70.0,66.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,64,50,54,65,39,70,56,40,61,69,78,80,74,67,74,60,72,86,61,44,51,69,70,54,38,79,72,73,68
11022,19,180,75,10000,1,4,3,2800000.0,12.1145648312611,77.0,63.0,53.0,65.0,19.0,55.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,50,67,55,57,55,62,47,55,50,63,78,76,77,63,76,60,67,58,58,56,40,12,67,54,61,60,14,17,17
263,26,190,85,115000,2,3,2,47400000.0,16.0,72.0,43.0,67.0,63.0,82.0,78.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,68,32,81,75,34,60,35,56,72,69,66,76,57,82,50,72,75,61,82,44,88,80,39,57,40,72,82,85,82
2004,30,189,78,42000,1,4,2,10500000.0,12.1145648312611,55.0,41.0,51.0,63.0,76.0,72.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,36,34,74,63,56,60,38,33,52,66,56,55,65,74,57,50,84,67,76,41,66,73,42,50,54,70,74,79,76
1274,21,196,80,67000,1,3,3,25200000.0,12.1145648312611,74.0,74.0,57.0,69.0,31.0,68.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,50,78,77,65,64,68,50,42,44,73,68,78,63,74,56,76,70,66,79,67,41,22,78,65,72,73,35,23,15
3300,21,180,65,20000,1,4,2,11600000.0,12.1145648312611,63.0,65.0,68.0,67.0,60.0,60.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,48,61,47,78,56,69,55,56,71,68,62,63,50,71,68,73,59,76,59,69,41,63,64,72,54,79,58,65,56
112,25,182,74,150000,2,3,4,70300000.0,2.0,90.0,65.0,80.0,84.0,78.0,71.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,86,58,68,81,62,85,82,69,75,84,89,90,82,84,79,80,72,92,60,68,73,78,78,78,46,82,79,80,80
50,30,186,81,155000,3,3,2,75900000.0,2.0,64.0,55.0,72.0,66.0,88.0,79.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,64,45,82,79,38,62,63,69,85,75,61,66,59,87,50,78,84,78,79,58,81,88,54,62,58,86,90,90,86
1849,27,183,75,46000,1,4,3,14800000.0,18.0,75.0,73.0,72.0,74.0,64.0,72.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,64,73,66,75,62,75,74,70,71,73,75,75,79,69,65,75,70,84,68,80,67,67,72,73,52,67,61,64,61
319,26,175,62,135000,2,3,4,45600000.0,7.0,80.0,78.0,76.0,83.0,58.0,72.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,74,77,67,80,75,82,79,68,63,84,82,79,86,83,84,81,70,89,62,78,74,54,84,81,74,82,63,57,49
1894,34,178,74,57000,3,3,3,4400000.0,12.1145648312611,49.0,56.0,70.0,71.0,79.0,70.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,74,49,74,72,50,71,68,66,64,75,52,47,61,79,64,66,76,60,69,57,85,80,67,66,64,76,79,80,78
17192,20,185,76,5000,1,3,2,354000.0,12.1145648312611,45.0,28.0,31.0,33.0,55.0,58.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,27,21,54,36,32,29,35,30,28,33,46,45,39,47,54,43,73,42,68,26,48,49,27,28,38,43,55,59,57
2132,21,187,69,40000,1,3,3,18500000.0,2.0,70.0,45.0,66.0,72.0,74.0,70.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,65,43,74,74,43,71,61,47,66,75,69,71,72,74,69,56,72,69,72,39,67,74,50,59,47,57,73,76,73
1176,31,191,86,65000,2,3,2,12400000.0,12.1145648312611,58.0,39.0,58.0,60.0,79.0,74.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,51,25,77,68,30,61,51,36,67,59,53,62,54,70,53,68,74,63,80,46,72,80,33,50,39,69,76,81,80
16368,19,179,68,5000,1,2,2,556000.0,12.1145648312611,63.0,49.0,53.0,60.0,51.0,59.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,39,49,48,60,47,59,42,49,56,56,67,59,73,54,74,53,66,59,59,43,57,51,57,54,55,49,52,53,49
1034,22,187,71,68000,1,3,3,26300000.0,12.1145648312611,84.0,70.0,63.0,75.0,38.0,79.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,65,70,81,70,65,76,59,54,44,76,82,86,72,75,64,77,87,80,81,63,73,34,77,64,72,69,38,31,23
1979,28,180,72,44000,2,4,3,11400000.0,12.1145648312611,58.0,60.0,73.0,73.0,74.0,65.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,68,55,63,79,61,74,64,64,76,74,62,54,68,70,70,67,65,55,64,64,80,77,63,72,60,74,76,75,74
13183,19,175,77,6000,1,3,2,1600000.0,12.1145648312611,64.0,50.0,56.0,63.0,59.0,66.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,42,46,57,63,43,61,47,43,61,63,66,63,72,57,74,58,73,69,64,51,65,58,54,61,55,58,58,61,59
1586,26,171,75,48000,2,3,4,16200000.0,12.1145648312611,86.0,69.0,67.0,80.0,38.0,53.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,71,65,60,68,56,80,75,34,61,78,88,85,91,70,85,79,63,66,56,75,27,39,74,71,58,72,49,21,30
451,25,175,70,90000,2,4,4,35600000.0,12.1145648312611,82.0,73.0,78.0,84.0,66.0,73.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,78,69,39,80,58,84,73,60,75,84,80,83,80,78,88,80,69,78,70,76,77,72,79,81,69,77,67,70,66
938,28,179,77,40000,1,4,4,20000000.0,7.0,75.0,74.0,78.0,77.0,61.0,70.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,80,70,64,77,72,78,79,77,75,77,75,75,76,77,76,82,78,76,67,74,66,62,74,79,70,78,60,63,55
2138,19,183,68,17000,1,3,3,20000000.0,12.1145648312611,77.0,66.0,71.0,75.0,50.0,66.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,76,65,59,70,57,76,73,66,64,75,75,79,75,67,78,69,68,75,65,68,55,46,71,72,62,73,48,54,44
2123,18,177,75,31000,1,3,4,29000000.0,12.1145648312611,85.0,64.0,67.0,81.0,30.0,60.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,66,67,53,71,59,82,67,64,65,80,86,84,85,65,78,65,72,66,60,60,50,23,64,65,55,67,22,33,36
1950,30,193,79,39000,2,3,2,12400000.0,12.1145648312611,44.0,77.0,61.0,67.0,44.0,80.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,60,76,90,64,74,67,53,42,57,73,43,45,53,74,43,82,80,50,91,76,88,45,76,65,73,75,26,46,43
17,31,173,70,300000,4,4,4,111000000.0,9.0,80.0,90.0,77.0,88.0,33.0,74.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24
197,26,174,70,130000,3,4,4,59700000.0,12.1145648312611,92.0,79.0,76.0,87.0,42.0,66.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,75,82,50,77,72,88,71,74,74,83,95,89,93,81,92,79,90,76,57,76,72,50,82,76,74,82,31,43,44
4194,23,184,80,20000,1,3,3,6700000.0,12.1145648312611,77.0,70.0,53.0,72.0,25.0,61.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,48,69,67,60,63,73,53,41,44,72,77,77,71,64,68,76,67,64,69,71,37,22,67,55,70,60,19,20,17
3593,25,182,73,61000,1,4,3,7500000.0,12.1145648312611,65.0,72.0,72.0,73.0,34.0,53.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,71,73,53,75,74,72,75,73,68,77,64,65,70,69,69,70,35,62,53,70,44,31,71,72,73,79,27,32,47
2702,21,185,78,46000,1,4,3,11600000.0,12.1145648312611,83.0,60.0,64.0,65.0,71.0,76.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,64,57,69,72,55,63,60,34,63,67,79,87,73,67,62,69,64,70,78,60,80,70,61,61,48,67,70,73,73
47,32,189,86,155000,3,3,3,60100000.0,5.0,63.0,63.0,74.0,72.0,87.0,79.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,72,56,80,79,52,71,66,70,74,77,60,65,60,85,60,80,85,75,79,66,84,89,56,68,66,84,89,87,88
218,29,182,80,115000,2,3,3,40700000.0,8.0,64.0,70.0,83.0,77.0,78.0,80.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,82,67,65,84,71,76,80,74,84,81,65,64,69,84,70,77,77,90,74,71,82,80,75,83,64,78,79,80,76
16548,20,168,63,8000,1,3,3,357000.0,12.1145648312611,70.0,47.0,50.0,64.0,27.0,34.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,54,47,30,52,40,62,50,37,46,60,73,67,78,57,79,44,48,44,30,48,30,27,53,49,50,54,26,27,24
8768,19,172,63,12000,1,3,3,3500000.0,12.1145648312611,78.0,62.0,53.0,72.0,22.0,41.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,47,63,51,60,52,70,54,40,46,71,79,78,86,65,80,64,52,49,40,62,32,16,64,56,62,58,22,19,15
12,25,188,89,220000,3,4,3,159800000.0,9.0,70.0,91.0,79.0,81.0,47.0,83.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,75,94,86,81,85,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81,90,91,56,36,38
3069,30,190,80,25000,1,2,2,6500000.0,12.1145648312611,66.0,43.0,57.0,59.0,72.0,79.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,52,37,68,63,52,62,48,30,60,56,63,68,53,68,57,59,71,79,79,40,80,75,48,59,31,59,70,73,70
6642,18,180,75,11000,1,2,2,4700000.0,12.1145648312611,85.0,62.0,59.0,72.0,25.0,55.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,59,62,59,64,61,73,62,49,45,73,86,84,76,51,69,65,47,66,55,59,42,18,62,61,60,48,22,22,24
3523,26,180,80,24000,2,3,3,4740717.432273263,12.1145648312611,63.0,54.0,67.0,74.0,70.0,74.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,49,55,67,76,41,74,52,55,74,75,61,64,73,72,73,59,77,68,73,51,81,65,59,69,48,76,70,73,76
1299,24,185,79,29000,1,4,2,21000000.0,12.1145648312611,58.0,55.0,64.0,68.0,74.0,76.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,43,48,65,76,35,66,45,38,69,75,56,60,58,74,60,70,69,78,74,61,80,75,66,69,49,75,74,75,77
127,26,175,70,125000,3,4,4,72100000.0,12.1145648312611,89.0,77.0,79.0,89.0,55.0,61.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,81,74,44,81,73,90,77,69,76,88,89,89,89,77,87,86,37,74,55,84,67,69,76,81,53,84,47,59,46
1564,30,190,83,34000,2,2,2,11400000.0,12.1145648312611,48.0,28.0,50.0,50.0,77.0,74.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,23,26,77,68,21,39,49,40,58,65,47,49,48,71,45,27,77,62,78,29,79,76,36,44,42,71,76,78,77
224,31,183,81,145000,3,3,2,35200000.0,17.0,56.0,57.0,63.0,59.0,83.0,78.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,52,54,84,75,57,51,50,39,72,70,55,57,58,78,58,69,89,65,79,56,91,83,48,53,45,79,82,84,83
1327,25,181,78,63000,2,4,4,19800000.0,19.0,69.0,70.0,77.0,78.0,61.0,64.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,74,66,62,81,70,79,75,67,77,79,71,67,74,73,71,73,65,70,60,76,64,61,76,76,56,75,58,63,60
163,23,184,76,140000,3,3,4,68100000.0,19.0,89.0,81.0,72.0,86.0,41.0,71.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,72,82,69,78,74,87,84,54,60,86,88,89,84,80,79,84,70,75,74,77,58,42,82,73,81,79,34,39,36
806,23,173,68,48000,2,4,4,26700000.0,12.1145648312611,67.0,62.0,79.0,83.0,65.0,65.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,74,63,37,84,60,83,74,69,75,82,75,61,89,76,88,60,60,76,53,60,80,70,72,80,60,78,71,66,62
1370,25,172,75,32000,1,3,3,16800000.0,2.0,92.0,51.0,65.0,76.0,71.0,70.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,69,40,65,70,60,75,70,28,53,73,92,92,85,75,77,73,85,86,58,51,76,68,66,68,38,72,72,75,72
16376,19,170,65,6000,1,3,3,556000.0,12.1145648312611,59.0,46.0,57.0,57.0,40.0,44.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,47,43,38,63,41,56,49,51,59,55,58,60,62,61,67,50,42,58,40,45,37,39,50,58,54,62,36,45,44
916,29,186,84,44000,1,4,3,20000000.0,12.1145648312611,62.0,78.0,68.0,74.0,47.0,81.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,66,80,79,72,75,72,62,56,65,79,64,60,66,78,71,84,83,77,80,65,90,41,79,70,80,78,43,46,39
9901,19,185,75,14000,1,3,4,2900000.0,12.1145648312611,78.0,62.0,63.0,64.0,44.0,62.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,65,61,46,62,59,68,67,62,58,58,77,78,74,53,50,68,59,64,61,62,65,42,66,65,51,58,43,46,42
4358,27,198,87,25000,1,3,2,4700000.0,12.1145648312611,44.0,33.0,53.0,47.0,70.0,77.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,43,25,74,59,22,47,48,46,60,54,43,45,31,67,26,53,51,61,89,29,74,68,37,49,48,62,72,69,69
1045,24,175,77,68000,2,3,3,20700000.0,4.0,79.0,59.0,68.0,78.0,74.0,62.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,78,43,60,75,44,78,53,71,66,80,81,78,75,77,73,80,67,74,53,77,66,78,71,51,55,72,76,74,73
10004,22,173,76,14000,1,3,3,1900000.0,12.1145648312611,77.0,61.0,61.0,66.0,36.0,64.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,58,63,46,63,59,66,58,61,58,64,79,75,73,56,74,61,77,73,57,58,65,34,62,62,63,63,35,38,27
16497,21,180,70,8000,1,3,2,399000.0,12.1145648312611,73.0,53.0,42.0,55.0,25.0,52.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,36,56,56,52,46,53,42,32,35,54,73,73,59,59,69,52,64,48,59,51,35,29,50,40,54,54,26,17,11
11020,17,175,72,4000,1,4,3,2900000.0,12.1145648312611,76.0,64.0,53.0,62.0,26.0,58.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,35,69,52,60,53,60,53,48,50,60,78,75,72,64,71,64,69,60,54,58,62,16,65,60,55,60,29,26,14
321,32,179,74,115000,3,3,3,33300000.0,12.1145648312611,88.0,81.0,65.0,74.0,55.0,75.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,68,85,78,67,81,74,65,57,48,74,87,88,72,83,75,85,78,79,68,64,87,49,86,72,83,81,56,50,53
1985,30,188,84,63000,2,4,5,12400000.0,12.1145648312611,81.0,69.0,69.0,79.0,34.0,75.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,74,66,70,71,56,81,65,49,65,81,78,83,74,73,68,80,85,66,78,68,76,31,71,68,65,75,29,34,17
882,31,182,72,75000,2,4,4,17100000.0,12.1145648312611,76.0,73.0,76.0,80.0,43.0,61.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,77,71,64,80,75,81,77,76,75,82,77,75,79,74,73,77,68,69,58,72,58,35,76,67,75,73,31,52,51
15347,18,175,69,3000,1,2,2,855000.0,12.1145648312611,74.0,47.0,52.0,63.0,56.0,56.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,57,45,48,54,42,63,50,38,49,61,73,75,65,56,69,52,70,54,56,48,53,57,52,52,44,59,55,60,56
11027,18,183,73,7000,1,4,3,2800000.0,12.1145648312611,77.0,64.0,50.0,59.0,25.0,58.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,45,66,59,54,60,57,54,49,44,59,76,78,66,58,66,64,60,55,60,59,58,21,63,52,64,64,19,24,19
1044,23,178,71,81000,1,4,4,22700000.0,12.1145648312611,73.0,74.0,78.0,78.0,66.0,69.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,78,71,56,80,72,78,80,80,77,80,75,72,77,74,79,79,62,73,64,78,76,70,71,76,70,72,67,65,63
787,25,184,85,53000,2,3,3,26700000.0,12.1145648312611,72.0,68.0,76.0,78.0,72.0,72.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,72,57,68,82,68,80,72,68,77,81,69,75,68,73,72,81,46,75,73,78,70,72,71,74,68,68,72,73,69
2091,28,191,87,52000,1,3,3,13300000.0,12.1145648312611,54.0,75.0,54.0,71.0,39.0,75.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,34,76,83,64,77,71,46,36,57,75,46,61,65,71,61,76,78,68,79,72,72,34,78,59,77,70,43,29,26
2170,22,170,66,34000,1,3,4,4740717.432273263,12.1145648312611,77.0,66.0,69.0,82.0,27.0,41.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,66,68,44,73,52,83,66,49,65,80,79,75,92,63,90,65,43,60,33,67,38,21,71,76,62,76,37,18,19
8535,32,172,75,11000,1,3,3,1200000.0,12.1145648312611,74.0,62.0,63.0,70.0,28.0,63.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,66,62,46,63,56,70,69,72,53,66,75,73,78,63,84,60,69,75,63,66,45,31,62,66,63,53,28,23,19
2461,30,180,79,41000,1,3,2,8700000.0,12.1145648312611,66.0,34.0,58.0,62.0,74.0,74.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,54,33,73,68,27,60,47,44,61,63,63,68,69,67,66,36,84,64,78,31,72,72,44,49,52,73,75,73,76
516,30,190,87,68000,2,3,3,22800000.0,12.1145648312611,52.0,71.0,74.0,73.0,78.0,77.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,69,69,72,79,69,76,67,71,78,80,50,53,36,81,61,77,72,77,78,72,76,83,73,71,54,75,76,79,77
6730,21,184,70,13000,1,2,3,3100000.0,12.1145648312611,70.0,61.0,65.0,72.0,36.0,46.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,54,60,43,69,54,74,64,66,65,73,72,69,66,62,73,67,46,62,40,58,39,24,64,69,62,56,36,44,31
349,26,184,76,73000,2,3,3,39500000.0,12.1145648312611,69.0,74.0,73.0,77.0,79.0,82.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,68,73,66,82,68,78,41,42,75,80,65,72,62,78,68,84,72,92,80,75,78,82,73,77,54,74,79,83,76
3554,22,182,79,27000,1,3,3,7000000.0,12.1145648312611,64.0,51.0,68.0,68.0,72.0,66.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,65,46,69,77,45,66,35,35,75,74,65,63,66,66,63,69,67,61,68,49,69,73,53,64,42,62,73,72,71
16442,20,186,77,5000,1,2,2,530000.0,12.1145648312611,42.0,25.0,35.0,36.0,57.0,58.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,26,20,55,47,23,32,30,21,29,38,49,37,34,55,47,42,62,50,63,17,54,58,27,33,28,50,55,59,56
611,22,175,73,72000,1,4,4,33600000.0,12.1145648312611,75.0,72.0,82.0,79.0,39.0,57.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,81,69,30,83,69,78,79,82,77,82,76,74,84,69,78,79,54,74,49,73,56,45,75,84,74,78,37,40,34
2885,26,176,68,36000,2,4,3,9900000.0,12.1145648312611,69.0,65.0,74.0,74.0,59.0,58.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,72,59,38,76,71,72,77,69,73,77,73,65,79,69,77,70,63,72,48,75,64,64,66,74,48,67,56,67,54
3297,19,178,73,15000,1,3,3,14400000.0,12.1145648312611,83.0,41.0,60.0,73.0,70.0,64.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,65,41,53,68,41,71,50,32,56,72,85,81,82,67,79,46,52,79,56,36,68,68,64,53,27,75,74,73,68
17208,21,185,78,5000,1,3,2,273000.0,12.1145648312611,53.0,32.0,41.0,44.0,53.0,60.0,65.42239685658153,63.146365422396855,61.832514734774065,66.39047151277013,37.79862475442043,63.37475442043222,43,26,56,43,37,41,32,32,40,43,54,53,50,41,63,42,62,61,58,29,65,49,35,39,41,44,45,61,58
